2020-10-14(수) 오전 12:48:39: reading: key = 84, value = 6.5
2020-10-14(수) 오전 12:48:39: reading: key = 95, value = 6
2020-10-14(수) 오전 12:48:39: reading: key = 98, value = 5.5
2020-10-14(수) 오전 12:48:39: reading: key = 99, value = 5
2020-10-14(수) 오전 12:48:39: reading: key = 100, value = 4.5
2020-10-14(수) 오전 12:48:39: settings changed for: throttle_median!, reimporting...
2020-10-14(수) 오전 12:48:39: reading: key = throttle_median, value = 80
2020-10-14(수) 오전 12:48:39: settings changed for: newlist_median!, reimporting...
2020-10-14(수) 오전 12:48:39: reading: key = newlist_median, value = 50
2020-10-14(수) 오전 12:48:39: settings changed for: gpuplan!, reimporting...
2020-10-14(수) 오전 12:48:39: reading: key = gpuplan, value = 1
2020-10-14(수) 오전 12:48:41: checking XTU cmdlet
2020-10-14(수) 오전 12:48:43: XTU ok
2020-10-14(수) 오전 12:48:45: result = 4.5
2020-10-14(수) 오전 12:48:45: init PowerCFG settings
2020-10-14(수) 오전 12:48:49: settings changed for: special_programs!, reimporting...
2020-10-14(수) 오전 12:48:49: reading: key = explorer, value = 0
2020-10-14(수) 오전 12:48:49: reading: key = ConsoleApplication41, value = 6
2020-10-14(수) 오전 12:48:49: reading: key = notepad++, value = 6
2020-10-14(수) 오전 12:48:49: reading: key = Hwp, value = 6
2020-10-14(수) 오전 12:48:49: reading: key = cmd, value = 6
2020-10-14(수) 오전 12:48:49: reading: key = POWERPNT, value = 6
2020-10-14(수) 오전 12:48:49: reading: key = devenv, value = 6
2020-10-14(수) 오전 12:48:50: start of newlist timer
2020-10-14(수) 오전 12:49:21: time to sync for newlist
2020-10-14(수) 오전 1:00:26: settings changed for: special_programs!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = explorer, value = 0
2020-10-14(수) 오전 1:00:26: reading: key = ConsoleApplication41, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = notepad++, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = Hwp, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = cmd, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = POWERPNT, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = devenv, value = 6
2020-10-14(수) 오전 1:00:26: settings changed for: programs_running_cfg_cpu!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = 0, value = 100
2020-10-14(수) 오전 1:00:26: reading: key = 1, value = 99
2020-10-14(수) 오전 1:00:26: reading: key = 2, value = 98
2020-10-14(수) 오전 1:00:26: reading: key = 3, value = 95
2020-10-14(수) 오전 1:00:26: reading: key = 4, value = 84
2020-10-14(수) 오전 1:00:26: reading: key = 5, value = 73
2020-10-14(수) 오전 1:00:26: reading: key = 6, value = 65
2020-10-14(수) 오전 1:00:26: reading: key = 7, value = 58
2020-10-14(수) 오전 1:00:26: reading: key = 8, value = 50
2020-10-14(수) 오전 1:00:26: reading: key = 9, value = 43
2020-10-14(수) 오전 1:00:26: reading: key = 10, value = 32
2020-10-14(수) 오전 1:00:26: reading: key = 11, value = 24
2020-10-14(수) 오전 1:00:26: settings changed for: programs_running_cfg_xtu!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = 11, value = 10
2020-10-14(수) 오전 1:00:26: reading: key = 10, value = 9.5
2020-10-14(수) 오전 1:00:26: reading: key = 9, value = 9
2020-10-14(수) 오전 1:00:26: reading: key = 8, value = 8.5
2020-10-14(수) 오전 1:00:26: reading: key = 7, value = 8
2020-10-14(수) 오전 1:00:26: reading: key = 6, value = 7.5
2020-10-14(수) 오전 1:00:26: reading: key = 5, value = 7
2020-10-14(수) 오전 1:00:26: reading: key = 4, value = 6.5
2020-10-14(수) 오전 1:00:26: reading: key = 3, value = 6
2020-10-14(수) 오전 1:00:26: reading: key = 2, value = 5.5
2020-10-14(수) 오전 1:00:26: reading: key = 1, value = 5
2020-10-14(수) 오전 1:00:26: reading: key = 0, value = 4.5
2020-10-14(수) 오전 1:00:26: settings changed for: programs_running_cfg_nice!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = 0, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 1, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 2, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 3, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 4, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 5, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 6, value = Normal
2020-10-14(수) 오전 1:00:26: reading: key = 7, value = Normal
2020-10-14(수) 오전 1:00:26: settings changed for: loop_delay!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = loop_delay, value = 5
2020-10-14(수) 오전 1:00:26: settings changed for: boost_cycle_delay!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = boost_cycle_delay, value = 12
2020-10-14(수) 오전 1:00:26: settings changed for: newlist_cycle_delay!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = newlist_cycle_delay, value = 30
2020-10-14(수) 오전 1:00:26: settings changed for: ac_offset!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = ac_offset, value = 1
2020-10-14(수) 오전 1:00:26: settings changed for: processor_guid_tweak!, reimporting...
2020-10-14(수) 오전 1:00:26: reading: key = 06cadf0e-64ed-448a-8927-ce7bf90eb35d, value = 30
2020-10-14(수) 오전 1:00:26: reading: key = 0cc5b647-c1df-4637-891a-dec35c318583, value = 100
