2024-09-10 오전 1:09:39: settings changed for: special_programs!, reimporting...
2024-09-10 오전 1:09:39: reading: key = WindowsFormsApplication5, value = 5
2024-09-10 오전 1:09:39: reading: key = chrome, value = 5
2024-09-10 오전 1:09:39: reading: key = explorer, value = 5
2024-09-10 오전 1:09:39: reading: key = KakaoTalk, value = 5
2024-09-10 오전 1:09:39: reading: key = POWERPNT, value = 5
2024-09-10 오전 1:09:39: reading: key = ApplicationFrameHost, value = 5
2024-09-10 오전 1:09:39: reading: key = LockApp, value = 5
2024-09-10 오전 1:09:39: reading: key = devenv, value = 5
2024-09-10 오전 1:09:39: reading: key = notepad++, value = 5
2024-09-10 오전 1:09:39: reading: key = vmware, value = 5
2024-09-10 오전 1:09:39: reading: key = VEFX Slider, value = 5
2024-09-10 오전 1:09:39: reading: key = TeamViewer, value = 5
2024-09-10 오전 1:09:39: reading: key = Idle, value = 5
2024-09-10 오전 1:09:39: settings changed for: programs_running_cfg_cpu!, reimporting...
2024-09-10 오전 1:09:39: reading: key = 0, value = 100
2024-09-10 오전 1:09:39: reading: key = 1, value = 99
2024-09-10 오전 1:09:39: reading: key = 2, value = 98
2024-09-10 오전 1:09:39: reading: key = 3, value = 95
2024-09-10 오전 1:09:39: reading: key = 4, value = 84
2024-09-10 오전 1:09:39: reading: key = 5, value = 73
2024-09-10 오전 1:09:39: reading: key = 6, value = 65
2024-09-10 오전 1:09:39: reading: key = 7, value = 58
2024-09-10 오전 1:09:39: reading: key = 8, value = 50
2024-09-10 오전 1:09:39: reading: key = 9, value = 43
2024-09-10 오전 1:09:39: reading: key = 10, value = 32
2024-09-10 오전 1:09:39: reading: key = 11, value = 24
2024-09-10 오전 1:09:39: settings changed for: programs_running_cfg_xtu!, reimporting...
2024-09-10 오전 1:09:39: reading: key = 11, value = 10.5
2024-09-10 오전 1:09:39: reading: key = 10, value = 10.5
2024-09-10 오전 1:09:39: reading: key = 9, value = 9.5
2024-09-10 오전 1:09:39: reading: key = 8, value = 9
2024-09-10 오전 1:09:39: reading: key = 7, value = 8.5
2024-09-10 오전 1:09:39: reading: key = 6, value = 8
2024-09-10 오전 1:09:39: reading: key = 5, value = 7.5
2024-09-10 오전 1:09:39: reading: key = 4, value = 7
2024-09-10 오전 1:09:39: reading: key = 3, value = 6.5
2024-09-10 오전 1:09:39: reading: key = 2, value = 6
2024-09-10 오전 1:09:39: reading: key = 1, value = 5.5
2024-09-10 오전 1:09:39: reading: key = 0, value = 4.5
2024-09-10 오전 1:09:39: settings changed for: programs_running_cfg_nice!, reimporting...
2024-09-10 오전 1:09:39: reading: key = 0, value = Normal
2024-09-10 오전 1:09:39: reading: key = 1, value = Normal
2024-09-10 오전 1:09:39: reading: key = 2, value = Normal
2024-09-10 오전 1:09:39: reading: key = 3, value = Normal
2024-09-10 오전 1:09:39: reading: key = 4, value = Normal
2024-09-10 오전 1:09:39: reading: key = 5, value = Normal
2024-09-10 오전 1:09:39: reading: key = 6, value = Normal
2024-09-10 오전 1:09:39: reading: key = 7, value = Normal
